Club,Last_Name,First_Name,Position,Salary,Guaranteed_Comp
FC Cincinnati,Cruz,Allan ,M,300000.00,333125.00
LA Galaxy,Cuello,Emil,M-F,70250.04,70250.04
San Jose Earthquakes,Cummings,Harold,D,270000.00,320666.67
FC Cincinnati,Dally,Rashawn,F,56250.00,59658.75
Toronto FC,Daniels,Aidan,M-F,57225.00,57225.00
Minnesota United,Danladi,Abu,F,145000.08,180000.08
New York Red Bulls,Davis,Sean,M,300000.00,327500.00
Orlando City SC,De John,Alex,D,135000.00,146614.17
Philadelphia Union,De Vries,Jack,M-F,90000.00,120556.25
Major League Soccer,Del Grecco,Nicolas,D,120000.00,121125.00
Houston Dynamo,DeLaGarza,AJ,D,249999.96,253749.96
Seattle Sounders FC,Delem,Jordy,D-M,70875.00,70875.00
Toronto FC,DeLeon,Nick,D-M,159528.00,175269.67
Toronto FC,Delgado,Marco ,M,252999.96,252999.96
FC Cincinnati,Deplagne,Mathieu,D,240000.00,254400.00
Houston Dynamo,Deric,Tyler,GK,159999.96,167499.96
Seattle Sounders FC,Dhillon,Justin,F,70250.04,70250.04
Columbus Crew,Diaz ,Luis ,M,300000.00,333900.00
Sporting Kansas City,Dick,Eric,GK,70250.04,73699.58
Portland Timbers,Dielna,Claude,D,560000.04,600000.04
LAFC,Diomande,Adama,F,849999.96,934999.96
Montreal Impact,Diop,Clement,GK,94500.00,98190.00
Vancouver Whitecaps,Dominguez,Jon Erice,M,654545.52,752363.70
Toronto FC,Dorsey,Griffin,M-F,90000.00,134000.00
LA Galaxy,Dos Santos,Jonathan,M,2000000.04,2000000.04
Minnesota United,Dotson,Hassani,M,56250.00,56250.00
Sporting Kansas City,Duke,Cameron,M,56250.00,69250.00
New York Red Bulls,Duncan,Kyle,D,70250.04,70250.04
Toronto FC,Dunn,Julian,D,57225.00,57225.00
DC United,Durkin,Chris,D-M,95000.04,104375.04
Orlando City SC,Dwyer,Dom,F,1320000.00,1503333.33
Portland Timbers,Ebobisse,Jeremy,F,174999.96,237999.96
Chicago Fire,Edwards,Raheem,M,70250.04,70250.04
DC United,Edwards,Earl,GK,70250.04,73583.37
LAFC,Ejimadu,Philip,GK,56250.00,56250.00
Houston Dynamo,Elis,Alberth,M-F,650340.00,650340.00
Philadelphia Union,Elliott,Jack,D,250000.08,265000.08
LAFC,El-Mounir,Mohammed,D,185000.04,207666.71
Toronto FC,Endoh,Tsubasa,M-F,70250.04,75583.37
New York Red Bulls,Epps,Marcus,M-F,70250.04,74541.71
San Jose Earthquakes,Eriksson,Magnus,M-F,450000.00,450000.00
Atlanta United,Escobar,Franco,D,300000.00,300000.00
Sporting Kansas City,Espinoza,Roger,M,800000.04,800000.04
San Jose Earthquakes,Espinoza,Cristian,M-F,500000.04,550000.04
FC Cincinnati,Etienne,Derrick,M-F,77062.56,82062.56
Philadelphia Union,Fabian,Marco,M-F,2000727.24,2274087.24
New England Revolution,Fagundez,Diego,M-F,185000.04,205000.04
Montreal Impact,Fanni,Rod,D,299250.00,299250.00
Portland Timbers,Farfan,Marco,D,80250.00,80250.00
New England Revolution,Farrell,Andrew,D,209229.96,344229.96
Sporting Kansas City,Feilhaber,Benny,M,413400.00,463400.00
San Jose Earthquakes,Felipe,Luis,D-M,70875.00,71625.00
LA Galaxy,Feltscher,Rolf,D,218000.04,242650.04
Sporting Kansas City,Fernandes,Gerso,M-F,550008.00,550008.00
New York Red Bulls,Fernandez,Omir,M-F,80000.04,95000.04
Portland Timbers,Fernandez,Brian,M-F,1200000.00,1275800.00
Chicago Fire,Ferreira,Marcelo,D,774999.96,797499.96
FC Dallas,Ferreira,Jesus,F,70250.04,70250.04
San Jose Earthquakes,Fierro,Carlos,M-F,660000.00,718800.00
Houston Dynamo,Figueroa,Maynor,D,70250.04,70250.04
Minnesota United,Finlay,Ethan,M-F,400008.00,400008.00
New England Revolution,Firmino,Nicolas,M,70250.04,73916.71
DC United,Fisher,Oniel,D,70250.04,74916.71
Portland Timbers,Flores,Andres,M-F,70250.04,70250.04
Philadelphia Union,Fontana,Anthony,M-F,70260.00,78677.60
Sporting Kansas City,Fontas,Andreu,D,1050000.00,1050000.00
Colorado Rapids,Ford,Kortne,D,92496.00,92496.00
Columbus Crew,Francis,Waylon,D,160000.08,199166.75
Chicago Fire,Frankowski,Przemyslaw,M-F,450000.00,661687.50
Toronto FC,Fraser,Liam,D-M,70875.00,75875.00
Sporting Kansas City,Freeman,Tyler,F,70249.92,82749.92
Philadelphia Union,Freese,Matt,GK,70000.08,77650.08
Seattle Sounders FC,Frei,Stefan,,325000.08,337500.08
Houston Dynamo,Fuenmayor,Alejandro,D,145008.00,172508.00
San Jose Earthquakes,Fuentes,Gilbert,M,80000.04,92000.04
Philadelphia Union,Gaddis,Raymon,D,190000.08,190000.08
Chicago Fire,Gaitan,Nicolas,M-F,1400004.00,2197504.00
Atlanta United,Gallagher,Jon,M-F,70250.04,70250.04
Toronto FC,Gallardo,Erickson,M,275004.00,306916.60
Houston Dynamo,Garcia,Oscar Boniek,M,168000.00,183000.00
Houston Dynamo,Garcia,Kevin,D,72360.84,72360.84
FC Cincinnati,Garza,Greg,D,270000.00,270000.00
Major League Soccer,Gashi,Shkelzen,M-F,1575000.00,1668750.00
Minnesota United,Gasper,Chase,D,56250.00,56250.00
FC Cincinnati,Gdula,Logan,D,56250.00,59575.00
New England Revolution,Gil,Carles,M-F,2100000.00,2337500.00
Vancouver Whitecaps,Giro,Victor,D-M,105000.00,110312.50
Real Salt Lake,Glad,Justen,D,345000.00,366700.00
Vancouver Whitecaps,Godoy,Erik,D,381818.16,449318.16
San Jose Earthquakes,Godoy,Anibal,D-M,450000.00,498125.00
Toronto FC,Gonzalez,Omar,D,918000.00,1193935.50
FC Dallas,Gonzalez,Jesse,GK,217500.00,231500.00
LA Galaxy,Gonzalez ,Giancarlo,D,650000.04,719583.37
Atlanta United,Gonzalez Pirez,Leandro,D,775008.00,810008.00
Atlanta United,Goslin,Chris,M-F,90000.00,90000.00
Minnesota United,Gregus,Jan,M,750000.00,883500.00
Atlanta United,Gressel,Julian,M,114249.96,132999.96
Orlando City SC,Grinwis,Adam,GK,70875.00,70875.00
LAFC,Guido,Alejandro,D-M,120000.00,120000.00
Sporting Kansas City,Gutierrez,Felipe,M,1599999.96,1649999.96
Chicago Fire,Gutjahr,Jeremiah,M,56250.00,56250.00
FC Cincinnati,Gutman,Andrew,D,99999.96,99999.96
Atlanta United,Guzan,Brad,GK,680004.00,740004.00
Columbus Crew,Guzman,David,D-M,320000.04,340000.04
FC Cincinnati,Gyau,Joe,M,148200.00,168640.00
New York City FC,Haak,Justin,M,56250.00,56250.00
FC Cincinnati,Hagglund,Nick,D,137504.40,147129.40
FC Cincinnati,Hague,Jimmy,GK,56250.00,56250.00
Houston Dynamo,Hairston,Marlon,M-F,155004.00,155004.00
San Jose Earthquakes,Haji,Siad,M,75000.00,104000.00
DC United,Hamid,Bill,GK,461820.00,487495.00
Columbus Crew,Hamilton,Jordan,F,124992.00,137658.67
Houston Dynamo,Hansen,Niko,M-F,71662.56,79162.56
LAFC,Harvey,Jordan,D,165000.00,165000.00
Vancouver Whitecaps,Hasal,Thomas,GK,56250.00,66250.00
Sporting Kansas City,Hasler,Nicolas,M,168000.00,183666.67
FC Dallas,Hayes,Jacori,M,71662.56,79162.56
FC Dallas,Hedges,Matt,D,550008.00,575008.00
Vancouver Whitecaps,Henry,Doneil,D,190008.00,204241.71
Chicago Fire,Herbers,Fabian,M-F,135000.00,135000.00
New England Revolution,Herivaux,Zachary,M,72351.60,87351.60
FC Dallas,Hernandez,Moises,D,90000.00,90000.00
Atlanta United,Hernandez,Jose Rafael,D,140004.00,140004.00
Sporting Kansas City,Hernandez,Felipe,M,56250.00,56250.00
Real Salt Lake,Herrera,Aaron,D,86000.04,86000.04
Columbus Crew,Higuain,Federico,M-F,1100000.04,1100000.04
Orlando City SC,Higuita,Cristian,M,474996.00,611662.67
LA Galaxy,Hilliard-Arce,Tomas,D,99999.96,123124.96
San Jose Earthquakes,Hoesen,Danny,F,500000.04,549666.71
FC Dallas,Hollingshead,Ryan,D-M,174999.96,174999.96
Real Salt Lake,Holt,Erik,D,70250.04,70250.04
Real Salt Lake,Horwath,Alex,GK,95000.04,100862.54
Colorado Rapids,Howard,Tim,GK,2000000.04,2475000.04
FC Cincinnati,Hoyte,Justin,D,70250.04,70250.04
Colorado Rapids,Hundley,Matt,M-F,65000.04,99000.04
Sporting Kansas City,Hurtado,Erik,F,174999.96,181249.96
Atlanta United,Hyndman,Emerson,M,360000.00,360000.00
Minnesota United,Ibarra,Romario,M-F,500000.04,546250.04
Minnesota United,Ibarra,Miguel,M,309996.00,342318.00
New York City FC,Ibeagha,Sebastien,D,74250.00,74250.00
LA Galaxy,Ibrahimovic,Zlatan,F,7200000.00,7200000.00
Philadelphia Union,Ilsinho,,M,330000.00,357000.00
Vancouver Whitecaps,In-Beom,Hwang,M,600000.00,655000.00
Colorado Rapids,Irwin,Clint,GK,126000.00,138707.24
Portland Timbers,Ivacic,Aljaz,GK,150000.00,160000.00
Major League Soccer,Ivan,Andreas,M-F,264000.00,330600.00
Colorado Rapids,Jackson,Niki,F,57225.00,57225.00
Montreal Impact,Jackson-Hamel,Anthony,F,160000.08,175000.08
Portland Timbers,Jadama,Modou,D,70250.04,70250.04
LAFC,Jakovic,Dejan,D,150000.00,153750.00
LA Galaxy,Jamieson,Bradford,F,76403.28,76403.28
Orlando City SC,Jansson,Robin,D,261000.00,289800.00
DC United,Jara,Leonardo,D,500000.04,560000.04
Columbus Crew,Jimenez,Hector,D-M,200000.04,200000.04
Orlando City SC,Johnson,Will,M,455004.00,491004.00
New York City FC,Johnson,Sean,GK,399999.96,399999.96
Real Salt Lake,Johnson,Sam,F,650000.04,767500.04
Seattle Sounders FC,Jones,Joevin,M,482004.00,528670.67
Philadelphia Union,Jones,Derrick,M,75000.00,80900.00
New England Revolution,Jones,DeJuan,M-F,56250.00,56250.00
New York Red Bulls,Jorgensen,Mathias,F,275000.04,306250.04
San Jose Earthquakes,Judson,,D-M,300000.00,305000.00
San Jose Earthquakes,Jungwirth,Florian,D-M,550008.00,616675.07
LA Galaxy,Juninho,,M,150000.00,163125.00
Houston Dynamo,Junqua,Sam,D,56250.00,56250.00
New York Red Bulls,Kaku,,M-F,799999.92,799999.92
Minnesota United,Kallman,Brent,D,118000.08,151531.33
DC United,Kamara,Ola,M-F,240000.00,260000.00
Colorado Rapids,Kamara,Kei,F,750000.00,750000.00
Atlanta United,Kann,Alec,GK,100008.00,100008.00
Chicago Fire,Kappelhof,Johan,D,549999.96,577833.29
San Jose Earthquakes,Kashia,Guram,D,590000.04,590000.04
Chicago Fire,Katai,Aleksandar,M-F,1260000.00,1380333.33
LAFC,Kaye,Mark-Anthony,M,166248.00,177810.50
Seattle Sounders FC,Kee-Hee,Kim,D,640000.08,772000.08
Columbus Crew,Keita,Aboubacar,D,90000.00,110000.00
Columbus Crew,Kempin,Jonathan,GK,71664.00,71664.00
Vancouver Whitecaps,Khmiri,Jasser,D,180000.00,180000.00
Montreal Impact,Kinumbe,Daniel,D,56250.00,60165.63
LA Galaxy,Kitchen,Perry,D-M,450000.00,474166.67
Orlando City SC,Kljestan,Sacha,M-F,1025000.04,1100000.04
New England Revolution,Knighton,Brad,GK,111253.32,116253.32
New York Red Bulls,Koffi,Jean-Christophe,M,70250.04,76031.29
Atlanta United,Kratz,Kevin,M,210000.00,222750.00
Real Salt Lake,Kreilach,Damir,M,968768.64,1082101.97
Montreal Impact,Krkic,Bojan,F,1232876.64,1532448.56
Montreal Impact,Krolicki,Ken,M-F,59950.08,59950.08
Chicago Fire,Kronholm,Kenneth,GK,87996.00,150996.00
Atlanta United,Kunga,Lagos,M-F,70250.04,73250.04
Sporting Kansas City,Kuzain,Wan,D-M,70875.00,70875.00
New York Red Bulls,Lade,Connor,D,126000.00,132749.85
FC Cincinnati,Lamah,Roland,M-F,750000.00,806250.00
LA Galaxy,Lampson,Matt,GK,70250.04,70250.04
Nashville SC,Lancaster,Cameron,F,70250.04,78065.67
Portland Timbers,Langsdorf,Foster,F,57225.00,57225.00
Montreal Impact,Lappalainen,Lassi,M-F,302574.00,302574.00
Atlanta United,Larentowicz,Jeff,D-M,210000.00,210000.00
Toronto FC,Laryea,Richie,D-M,56250.00,56250.00
FC Cincinnati,Lasso,Forrest,D,70250.04,77583.37
New York Red Bulls,Lawrence,Kemar,D,339999.96,382749.96
FC Cincinnati,Ledesma,Emmanuel,M-F,249999.96,280833.29
Seattle Sounders FC,Leerdam,Kelvin,D,549999.96,599999.96
Real Salt Lake,Lennon,Brooks,D,230004.00,242587.33
Vancouver Whitecaps,Levis,Brett,D-M,71662.56,74162.56
Colorado Rapids,Lewis,Jonathan,M-F,100000.08,137500.08
Seattle Sounders FC,Leyva,Danny,D-M,56250.00,89872.25
Chicago Fire,Lillard,Grant,D,95000.04,97500.04
San Jose Earthquakes,Lima,Nick,D,200000.04,218437.54
Orlando City SC,Lindley,Cam,D-M,90000.00,98906.25
Sporting Kansas City,Lindsey,Jaylin,D,75000.00,88000.00
LA Galaxy,Lletget,Sebastian,M,300000.00,312666.67
Minnesota United,Lod,Robin,M,849996.00,952496.00
Seattle Sounders FC,Lodeiro,Nicolas,M-F,2000000.04,2502500.04
New York Red Bulls,Long,Aaron,D,770000.04,800000.04
San Jose Earthquakes,Lopez ,Marcos,D,279999.96,387749.96
Portland Timbers,Loría,Marvin,M-F,56250.00,56250.00
New York Red Bulls,Louro,Evan,GK,70250.04,70250.04
Montreal Impact,Lovitz,Daniel,D,97453.08,97453.08
Real Salt Lake,Luiz,Everton,D-M,1000000.08,1100000.08
Columbus Crew,Lundgaard,Ben,GK,57225.00,57225.00
Houston Dynamo,Lundkvist,Adam,D,274999.92,303749.92
FC Cincinnati,Lundt,Ben,GK,56250.00,59658.75
Major League Soccer,Lyon,Charlie,GK,70250.04,70250.04
Portland Timbers,Mabiala,Larrys,D,750000.00,793333.33
New York City FC,Mackay-Steven,Gary,M-F,260000.04,274833.37
Vancouver Whitecaps,MacMath,Zac,GK,189999.96,189999.96
Columbus Crew,Maloney,Connor,D,70250.04,70250.04
New England Revolution,Mancienne,Michael,D,881676.00,995676.00
Minnesota United,Manley,Carter,D,57225.00,57225.00
FC Cincinnati,Manneh,Kekuta,M-F,375000.00,391666.67
Minnesota United,Mannone,Vito,GK,540000.00,594000.00
Houston Dynamo,Manotas,Mauro,F,1100049.96,1245049.96
San Jose Earthquakes,Marcinkowski,JT,,135000.00,147000.00
San Jose Earthquakes,Marie,Paul,D-M,57225.00,57225.00
Major League Soccer,Marshall,Chad,D,360000.00,401250.00
Minnesota United,Martin,Collin,M-F,105000.00,105000.00
Houston Dynamo,Martinez,Tomas,M-F,335004.00,517929.00
Atlanta United,Martinez,Pity,M-F,900000.00,900000.00
Atlanta United,Martinez,Josef,F,3000000.00,3058333.33
Real Salt Lake,Martinez,Doug,F,56250.00,56250.00
Chicago Fire,Martinez,Cristian,M,80000.04,88406.71
Sporting Kansas City,Martins,Luis,D,240000.00,240000.00
DC United,Martins,Felipe,M,500000.04,500000.04
New York City FC,Matarrita,Ronald,D,300000.00,420000.00
FC Cincinnati,Mattocks,Darren,F,519999.96,519999.96
FC Dallas,Maurer,Jimmy,GK,125000.04,127500.04
Toronto FC,Mavinga,Chris,D,600000.00,663333.33
Philadelphia Union,Mbaizo,Olivier,D,70875.00,70875.00
FC Cincinnati,McCabe,Tommy,D-M,56250.00,56250.00
Chicago Fire,McCarty,Dax,M,700000.08,700000.08
Houston Dynamo,McCue,Erik,D,56250.00,76250.00
Vancouver Whitecaps,McDonough,Brendan,D,56250.00,56250.00
Portland Timbers,McIntosh,Kendall,GK,70250.04,70250.04
Philadelphia Union,McKenzie,Mark,D,72225.00,82225.00
FC Cincinnati,McLaughlin,Jimmy,M,70250.04,70250.04
Houston Dynamo,McNamara,Thomas,M-F,165000.00,165000.00
New York Red Bulls,Meara,Ryan,GK,132000.00,137000.00
New York City FC,Medina,Jesus,M-F,750000.00,870833.33
Sporting Kansas City,Medranda,Jimmy,D-M,155004.00,155004.00
Philadelphia Union,Medunjanin,Haris,M,550008.00,595008.00
Montreal Impact,Meilleure-Giguere,Thomas,D,57120.00,60245.00
Sporting Kansas City,Melia,Tim,GK,325008.00,341674.67
Vancouver Whitecaps,Melvin,Sean,GK,70250.04,70250.04
Orlando City SC,Méndez,Jhegson Sebastián,D-M,450000.00,486750.00
Columbus Crew,Mensah,Jonathan,D,800004.00,894004.00
Atlanta United,Meram,Justin,M-F,650004.00,678754.00
Seattle Sounders FC,Meredith,Bryan,GK,70875.00,70875.00
Minnesota United,Metanire,Romain,D,305000.04,411833.37
Colorado Rapids,Mezquida,Nicolas,F,320000.04,320000.04
Orlando City SC,Michel,Benji,F,84999.96,116249.96
Chicago Fire,Mihailovic,Djordje,M-F,111000.00,114600.00
LAFC,Miller,Tyler,GK,77565.00,77565.00
Orlando City SC,Miller,Kamal,D,56250.00,56250.00
New York City FC,Miller,Eric,D,108549.96,124424.96
New York Red Bulls,Mines,Ben,M-F,57229.20,63243.20
New York City FC,Mitrita,Alexandru,M-F,500000.04,500000.04
New England Revolution,Mlinar Delamea,Antonio,D,425004.00,425004.00
New York City FC,Mohamed,Abdi,D,56250.00,56250.00
Minnesota United,Moimbe,Wilfried,D,252000.00,274275.00
Columbus Crew,Mokhtar,Youness,M-F,459996.00,533845.00
Minnesota United,Molino,Kevin,M-F,500004.00,546254.00
Philadelphia Union,Monteiro,Jamiro,M,618000.00,671200.00
Vancouver Whitecaps,Montero,Fredy,F,768000.00,968000.00
FC Dallas,Montgomery,Callum,D,70250.04,70250.04
