Club,Last_Name,First_Name,Position,Salary,Guaranteed_Comp
Philadelphia Union,Aaronson,Brenden,M-F,70000.08,98309.48
Seattle Sounders FC,Abdul-Salaam,Saad,D,70250.04,70250.04
Colorado Rapids,Abubakar,Lalas,D,135000.00,144937.50
Columbus Crew,Accam,David,M-F,1010004.00,1137920.00
DC United,Acosta,Luciano,M-F,600000.00,702000.00
Colorado Rapids,Acosta,Kellyn,D-M,549999.96,664999.96
Orlando City SC,Acosta,Danilo,D,110000.04,110000.04
FC Dallas,Acosta,Bryan,M,600000.00,650000.00
Atlanta United,Adams,Mohammed,M,99999.96,134999.96
FC Cincinnati,Adi,Fanendo,F,1360008.00,1965008.00
Vancouver Whitecaps,Adnan,Ali,D,1200000.00,1277499.90
San Jose Earthquakes,Affolter,Francois,D,249999.96,281999.96
Columbus Crew,Afful,Harrison,D,288099.96,363799.96
New England Revolution,Agudelo,Juan,F,574999.92,604999.92
San Jose Earthquakes,Akanyirige,Jacob,D,62225.04,64225.04
Orlando City SC,Akindele,Tesho,F,150000.00,150000.00
Toronto FC,Akinola,Ayo,F,56256.00,124256.00
FC Cincinnati,Alashe,Fatai,D-M,189999.96,189999.96
FC Cincinnati,Albadawi,Nazmi,M-F,70250.04,70250.04
LA Galaxy,Alessandrini,Romain,M-F,1610004.00,1940004.00
FC Dallas,Alexander,Eric,M,270000.00,270000.00
Philadelphia Union,Allen,RJ,D,70250.04,70250.04
Real Salt Lake,Allen,Jordan,M-F,237999.96,237999.96
Minnesota United,Alonso,Osvaldo,D-M,650000.04,697500.04
Toronto FC,Altidore,Jozy,F,4891250.04,6332250.04
LA Galaxy,Alvarez,Favio,M-F,525000.00,586250.00
LA Galaxy,Alvarez,Efrain,M-F,70872.00,75605.80
Philadelphia Union,Alves ,Fabinho,D,120000.00,120000.00
DC United,Amarikwa,Quincy,F,70250.04,70250.04
FC Cincinnati,Amaya,Frankie,M-F,110000.04,172000.04
Atlanta United,Ambrose,Mikey,D,72351.60,72351.60
FC Dallas,Anane-Gyasi,Edwin,M-F,570000.00,719225.00
Colorado Rapids,Anderson,Sebastian,D,56250.00,80916.67
New England Revolution,Angking,Isaac,M-F,70250.04,75250.04
New England Revolution,Anibaba,Jalil,D,101250.00,101250.00
LA Galaxy,Antuna,Uriel,M-F,420000.00,420000.00
FC Dallas,Aranguiz,Pablo,M-F,406666.68,466666.68
LA Galaxy,Araujo,Julian,D,80000.04,86250.04
New York City FC,Araujo dos Santos,Heber,F,785000.04,788750.04
Vancouver Whitecaps,Ardaiz,Joaquín,F,272727.12,272727.12
LA Galaxy,Arellano,Hugo,D,82500.00,90073.75
Columbus Crew,Argudo,Luis,M-F,57225.00,57225.00
Seattle Sounders FC,Arreaga,Xavier,D,393600.00,500850.00
Real Salt Lake,Arriaga,Luis,M,56250.00,56250.00
DC United,Arriola,Paul,M,675000.00,707000.00
Columbus Crew,Artur,,D-M,360000.00,411633.33
Orlando City SC,Ascues,Carlos,D-M,420000.00,451500.00
Portland Timbers,Asprilla,Dairon,M-F,200000.04,213750.04
Portland Timbers,Attinella,Jeff,GK,174999.96,187249.96
FC Dallas,Atuahene,Francis,M-F,135000.00,179000.00
LAFC,Atuesta,Eduard,D-M,474999.96,492999.96
Toronto FC,Auro,,D,225000.00,276666.67
Chicago Fire,Azira,Micheal,D-M,140000.04,146625.04
FC Dallas,Badji,Dominique,F,200000.04,206250.04
Vancouver Whitecaps,Bair,Thelonius,F,56250.00,76250.00
Real Salt Lake,Baird,Corey,F,70008.00,70008.00
Toronto FC,Bakero,Jon,F,70250.04,70250.04
Vancouver Whitecaps,Baldisimo,Michael,D-M,56250.00,83012.80
Vancouver Whitecaps,Bangoura,Alhassane,M-F,99999.96,99999.96
Sporting Kansas City,Baráth,Botond,D,250000.08,297333.41
Atlanta United,Barco,Ezequiel,M-F,1425000.00,1425000.00
New York Red Bulls,Barlow,Tom,F,56250.00,56250.00
New York City FC,Barraza,Luis,GK,56250.00,56250.00
FC Dallas,Barrios,Michael,M-F,500000.04,500000.04
Colorado Rapids,Bassett,Cole,M,75000.00,84000.00
LAFC,Batista,Lamar,D,56250.00,56250.00
Montreal Impact,Bayiha,Clement,M-F,61750.08,67125.08
Houston Dynamo,Beasley,DaMarcus,D,275000.04,275000.04
Montreal Impact,Beaulieu,Jason,GK,70250.04,70250.04
Real Salt Lake,Beckerman,Kyle,D-M,300000.00,325000.00
New York City FC,Bedoya,Daniel,M-F,70250.04,70250.04
Philadelphia Union,Bedoya,Alejandro,M,1200000.00,1266250.00
LAFC,Beitashour,Steven,D,275000.04,298375.04
Atlanta United,Bello,George,D,75000.00,79000.00
Real Salt Lake,Beltran,Tony,D,195000.00,207000.00
Philadelphia Union,Bendik,Joe,,144000.00,144000.00
Toronto FC,Benezet,Nicolas,M-F,600000.00,600000.00
San Jose Earthquakes,Bersano,Matt,GK,71666.88,71666.88
FC Cincinnati,Bertone,Leonardo,M,450000.00,496666.67
Real Salt Lake,Besler,Nick,M,84999.96,84999.96
Sporting Kansas City,Besler,Matt,D,574997.64,674997.64
New York Red Bulls,Bezecourt,Vincent,M-F,70875.00,73295.62
LA Galaxy,Bingham,David,GK,375000.00,375000.00
Houston Dynamo,Bird,Eric,M,70875.00,70875.00
DC United,Birnbaum,Steven,D,525000.00,550000.00
Houston Dynamo,Bizama,Jose,D,243636.00,292427.18
LAFC,Blackmon,Tristan,D,70250.04,72983.95
Philadelphia Union,Blake,Andre,GK,500004.00,550004.00
Portland Timbers,Blanco,Sebastian,M-F,2740008.00,2853341.33
LAFC,Blessing,Latif,M-F,93750.00,110416.67
Colorado Rapids,Blomberg,Johan,M,250962.00,250962.00
Vancouver Whitecaps,Blondell,Anthony,F,262500.00,307703.25
DC United,Boateng,Emmanuel,M,185000.04,185000.04
FC Cincinnati,Bone,Corben,M,70250.04,70250.04
Toronto FC,Bono,Alex,GK,350000.04,382000.04
Chicago Fire,Bornstein,Jonathan,D-M,240000.00,263200.00
New England Revolution,Bou,Gustavo,F,2100000.00,2100000.00
Minnesota United,Boxall,Michael,D,300000.00,317333.33
Toronto FC,Bradley,Michael,M,6000000.00,6500000.00
Montreal Impact,Brault-Guillard,Zachary,D,72000.00,81000.00
FC Dallas,Bressan,,D,485300.04,521931.29
DC United,Brillant,Frederic,D,264999.96,299999.96
Chicago Fire,Bronico,Brandt,M,84999.96,90624.96
Seattle Sounders FC,Bruin,Will,F,350000.04,358333.37
New England Revolution,Buchanan,Tajon,M-F,90000.00,126000.00
New York Red Bulls,Buckmaster,Rece,D,56250.00,56250.00
New England Revolution,Bunbury,Teal,F,225750.00,270750.00
Philadelphia Union,Burke,Cory,F,75937.56,79720.37
Montreal Impact,Bush,Evan,GK,232000.08,294666.75
Sporting Kansas City,Busio,Gianluca,M-F,90000.00,92500.00
DC United,Bustamante,Antonio,D-M,70250.04,74484.83
Seattle Sounders FC,Bwana,Handwalla,M-F,57225.00,57225.00
New England Revolution,Bye,Brandon,D,59950.08,63244.93
Houston Dynamo,Cabezas,Juan,D-M,268008.00,292008.00
Montreal Impact,Cabrera,Victor,D,150000.00,172328.33
Columbus Crew,Cadden,Chris,M,56250.00,56250.00
New England Revolution,Caicedo,Luis,D-M,300000.00,300000.00
New England Revolution,Caicedo,Juan Fernando,F,500000.04,500000.04
New England Revolution,Caldwell,Scott,M,142312.56,153208.56
New York City FC,Caldwell,Jeff,GK,57225.00,57225.00
New York City FC,Callens,Alexander,D,600000.00,664000.00
San Jose Earthquakes,Calvillo,Eric,M,120000.00,136500.00
Chicago Fire,Calvo,Francisco,D,600000.00,672600.00
Montreal Impact,Camacho,Rudy,D,700000.08,749152.58
Seattle Sounders FC,Campbell,Jonathan,D,70250.04,70250.04
Chicago Fire,Campos,Diego,D,70250.04,72825.04
FC Dallas,Cannon,Reggie,D,80250.00,80250.00
DC United,Canouse,Russell,M,247500.00,247500.00
Atlanta United,Carleton,Andrew,M-F,84999.96,97399.96
Inter Miami,Carranza,Julian,F,70250.04,70250.04
LA Galaxy,Carrasco,Servando,M,70250.04,70250.04
Portland Timbers,Cascante,Julio,D,170004.00,170004.00
New York Red Bulls,Casseres,Cristian,M,79999.92,118749.92
New York City FC,Castellanos,Valentin,M-F,249999.96,274806.41
New England Revolution,Castillo,Edgar,D,249999.96,249999.96
Seattle Sounders FC,Cecchini,Emanuel,M,648000.00,789000.00
Houston Dynamo,Ceren,Darwin,D-M,300000.00,349375.00
FC Dallas,Cerrillo,Edwin,D-M,70250.04,100250.04
Minnesota United,Chacon,Thomas,M,324999.96,336999.96
New York City FC,Chanot,Maxime,D,650000.04,650000.04
Toronto FC,Chapman,Jay,M,120000.00,138500.00
Portland Timbers,Chara,Diego,M,550000.08,568750.08
Vancouver Whitecaps,Chirinos,Michaell,M,360000.00,396875.00
Montreal Impact,Choiniere,Mathieu,M,80000.04,86390.04
Toronto FC,Ciman,Laurent,D,399999.96,435624.96
Portland Timbers,Clark,Steve,GK,140000.04,140000.04
Columbus Crew,Clark,Ricardo,M,159999.96,159999.96
Chicago Fire,Cleveland,Stefan,GK,70250.04,70250.04
Chicago Fire,Collier,Elliot,M-F,57225.00,57225.00
Philadelphia Union,Collin,Aurelien,D,175000.08,175000.08
Orlando City SC,Colman,Josue,M-F,450000.00,450000.00
FC Dallas,Colman,Cristian,F,500000.04,585000.04
Vancouver Whitecaps,Colyn,Simon,M-F,56250.00,81250.00
Portland Timbers,Conechny,Tomas,M-F,396000.00,396000.00
Vancouver Whitecaps,Cornelius,Derek,D,99999.96,111912.46
LA Galaxy,Corona,Joe,M,549999.96,578499.96
Montreal Impact,Corrales,Jorge,D,70875.00,70875.00
San Jose Earthquakes,Cowell,Cade,F,57225.00,67225.00
Philadelphia Union,Creavalle,Warren,D-M,162000.00,175300.00
Vancouver Whitecaps,Crepeau,Maxime,GK,90000.00,94083.33
Columbus Crew,Crognale,Alex,D,104504.40,104504.40
Major League Soccer,Cronin,Sam,M,330000.00,396990.33
New England Revolution,Cropper,Cody,GK,77519.52,77519.52
